a_virtual	Avis	VEI	VEI kategori	Region	Lanseringsdato	Dybde eller rekkevidde	Pulje
amta	Akershus Amtstidende	3	VEI 1-3	Follo/Østfold	5/7/2015	Dybde	Pulje 3
retten	Arbeidets Rett	2	VEI 1-3	Romerike/Innlandet	4/22/2015	Dybde	Pulje 3
auraavis	Aura Avis	1	VEI 1-3	Vest	#N/A	Dybde	Pulje 5
austagderblad	Aust Agder Blad	1	VEI 1-3	Telemark og Agder	#N/A	Dybde	Pulje 5
an	Avisa Nordland	5	VEI 4-5	Midt-Norge	2/19/2015	Rekkevidde og dybde	Pulje 2
ba	Bergensavisen	5	VEI 4-5	Vest	#N/A	Rekkevidde og dybde	Bergensavisen
bygdeposten	Bygdeposten	2	VEI 1-3	Buskerud	2/5/2015	Dybde	Pulje 2
finnmarken	Dagbladet Finnmarken	3	VEI 1-3	Nord	#N/A	Dybde	Finnmark
dt	Drammens Tidende	5	VEI 4-5	Buskerud	9/17/2014	Rekkevidde og dybde	Pulje 1
eikerbladet	Eiker Bladet	1	VEI 1-3	Buskerud	#N/A	Dybde	Pulje 5
enebakkavis	Enebakk Avis	1	VEI 1-3	Follo/Østfold	#N/A	Dybde	Pulje 5
finnmarken	Finnmark Dagblad	3	VEI 1-3	Nord	#N/A	Dybde	Finnmark
finnmarksposten	Finnmarksposten	1	VEI 1-3	Nord	#N/A	Dybde	Finnmark
firda	Firda	4	VEI 4-5	Vest	9/24/2014	Rekkevidde og dybde	Pulje 1
firdaposten	Firdaposten	2	VEI 1-3	Vest	9/24/2014	Dybde	Pulje 1
fb	Fredriksstad Blad	5	VEI 4-5	Follo/Østfold	4/23/2015	Rekkevidde og dybde	Pulje 3
fremover	Fremover	3	VEI 1-3	Nord	1/15/2015	Dybde	Pulje 2
gjengangeren	Gjengangeren	3	VEI 1-3	Vestfold	2/5/2015	Dybde	Pulje 2
glomdalen	Glåmdalen	4	VEI 4-5	Romerike/Innlandet	4/28/2015	Rekkevidde og dybde	Pulje 3
hadeland	Hadeland	3	VEI 1-3	Romerike/Innlandet	2/3/2015	Dybde	Pulje 2
hahalden	Halden Arbeiderblad	3	VEI 1-3	Follo/Østfold	4/21/2015	Dybde	Pulje 3
hardanger-folkeblad	Hardanger Folkeblad	2	VEI 1-3	Haugalandet	#N/A	Dybde	Pulje 5
havis	Haugesunds Avis	5	VEI 4-5	Haugalandet	9/22/2014	Rekkevidde og dybde	Pulje 1
helg	Helgelendingen	3	VEI 1-3	Midt-Norge	2/5/2015	Dybde	Pulje 2
ifinnmark	iFinnmark	3	VEI 1-3	Nord	6/9/2015	Dybde	Finnmark
indre	Indre Akershus Blad	2	VEI 1-3	Romerike/Innlandet	4/16/2015	Dybde	Pulje 3
jarlsbergavis	Jarlsberg Avis	1	VEI 1-3	Vestfold	2/5/2015	Dybde	Pulje 2
kv	Kragerø Blad Vestmar	2	VEI 1-3	Telemark og Agder	1/22/2015	Dybde	Pulje 2
kvinnheringen	Kvinnheringen	2	VEI 1-3	Haugalandet	#N/A	Dybde	Pulje 5
laagendalsposten	Laagendalsposten	3	VEI 1-3	Buskerud	9/22/2014	Rekkevidde og dybde	Pulje 1
lierposten	Lierposten	1	VEI 1-3	Buskerud	#N/A	Dybde	Pulje 5
lofotposten	Lofotposten	3	VEI 1-3	Nord	11/5/2014	Dybde	Pulje 2
lofot-tidende	Lofot-Tidende	1	VEI 1-3	Nord	11/5/2014	Dybde	Pulje 2
oyene	Lokalavisen Øyene	1	VEI 1-3	Vestfold	#N/A	Dybde	Pulje 5
mossavis	Moss Avis	4	VEI 4-5	Follo/Østfold	4/21/2015	Rekkevidde og dybde	Pulje 3
nordhordland	Nordhordland	2	VEI 1-3	Vest	#N/A	Dybde	Pulje 5
nordlys	Nordlys	5	VEI 4-5	Nord	8/30/2014	Rekkevidde og dybde	Pulje 1
noblad	Nordstrands Blad	1	VEI 1-3	Follo/Østfold	#N/A	Dybde	Pulje 5
oa	Oppland Arbeiderblad	5	VEI 4-5	Romerike/Innlandet	2/3/2015	Rekkevidde og dybde	Pulje 2
pd	Porsgrunns Dagblad	2	VEI 1-3	Telemark og Agder	#N/A	Dybde	Pulje 5
r-a	Rakkestad Avis	1	VEI 1-3	Follo/Østfold	#N/A	Dybde	Pulje 5
ranablad	Rana Blad	3	VEI 1-3	Midt-Norge	2/5/2015	Rekkevidde og dybde	Pulje 2
ringblad	Ringerikes Blad	4	VEI 4-5	Romerike/Innlandet	2/3/2015	Rekkevidde og dybde	Pulje 2
ringsaker-blad	Ringsaker Blad	2	VEI 1-3	Romerike/Innlandet	#N/A	Dybde	Pulje 5
rjukan	Rjukan Arbeiderblad	1	VEI 1-3	Telemark og Agder	#N/A	Dybde	Pulje 5
rb	Romerikes Blad	5	VEI 4-5	Romerike/Innlandet	4/16/2015	Rekkevidde og dybde	Pulje 3
rha	Røyken og Hurums Avis	1	VEI 1-3	Buskerud	#N/A	Dybde	Pulje 5
sandeavis	Sande Avis	1	VEI 1-3	Buskerud	#N/A	Dybde	Pulje 5
sb	Sandefjords Blad	4	VEI 4-5	Vestfold	9/23/2014	Rekkevidde og dybde	Pulje 1
sa	Sarpsborg Arbeiderblad	4	VEI 4-5	Follo/Østfold	4/23/2015	Rekkevidde og dybde	Pulje 3
smaalenene	Smaalenenes Avis	4	VEI 4-5	Follo/Østfold	4/16/2015	Rekkevidde og dybde	Pulje 3
solung	Solungavisa	1	VEI 1-3	Romerike/Innlandet	#N/A	Dybde	Pulje 5
svelviksposten	Svelviksposten	1	VEI 1-3	Buskerud	#N/A	Dybde	Pulje 5
ta	Telemarksavisa	5	VEI 4-5	Telemark og Agder	8/30/2015	Rekkevidde og dybde	Pulje 4
telen	Telen	2	VEI 1-3	Telemark og Agder	2/5/2015	Dybde	Pulje 2
tk	Tidens Krav	4	VEI 4-5	Vest	1/27/2015	Rekkevidde og dybde	Pulje 2
tvedestrandsposten	Tvedestrandsposten	1	VEI 1-3	Telemark og Agder	#N/A	Dybde	Pulje 5
tb	Tønsbergs Blad	5	VEI 4-5	Vestfold	9/30/2014	Rekkevidde og dybde	Pulje 1
vestbyavis	Vestby Avis	1	VEI 1-3	Follo/Østfold	#N/A	Dybde	Pulje 5
oblad	Østlandets Blad	3	VEI 1-3	Follo/Østfold	5/7/2015	Rekkevidde og dybde	Pulje 3
op	Østlandsposten	4	VEI 4-5	Vestfold	2/5/2015	Rekkevidde og dybde	Pulje 2
ostlendingen	Østlendingen	4	VEI 4-5	Romerike/Innlandet	4/22/2015	Rekkevidde og dybde	Pulje 3
aasavis	Ås Avis	1	VEI 1-3	Follo/Østfold	#N/A	Dybde	Pulje 5
